RA,DEC
17:46:06.1260,-33:36:41.540
17:46:05.2600,-33:34:36.680
17:45:57.5830,-33:36:36.040
17:44:58.4360,-33:26:52.840
17:49:30.0830,-33:23:45.830
17:49:44.6260,-33:40:49.500
17:47:34.8250,-33:41:14.210
17:46:02.3720,-34:00:46.140
17:47:22.0790,-34:02:59.020
17:46:55.2450,-34:02:55.500
17:46:51.7980,-33:55:36.210
17:45:44.8120,-33:45:00.890
17:45:08.9980,-33:48:23.850
17:46:39.5890,-33:44:47.910
17:47:25.7800,-33:44:42.860
17:45:18.8190,-34:17:10.140
17:46:54.7280,-34:18:19.480
17:45:25.1700,-34:13:43.370
17:46:37.5840,-34:06:20.400
17:45:53.7170,-34:11:04.650
17:44:51.5090,-34:39:27.160
17:46:50.4490,-34:42:32.560
17:44:42.5880,-34:33:15.570
17:46:56.7850,-34:29:36.860
17:44:45.4450,-35:05:33.730
17:45:35.5330,-34:59:10.700
17:46:38.1520,-35:01:11.900
17:47:23.9150,-34:59:53.910
17:50:37.5250,-34:51:32.510
17:50:28.6700,-34:55:08.310
17:49:32.7750,-34:47:37.730
17:49:31.0750,-34:48:47.840
17:47:39.2450,-34:49:23.030
17:49:30.4770,-35:00:31.840
17:49:56.8900,-34:25:56.580
17:49:37.6420,-34:26:30.940
17:50:39.2940,-34:36:31.130
17:48:18.8220,-34:40:37.530
17:48:21.7110,-34:37:10.010
17:49:53.3910,-34:10:57.330
17:49:04.5310,-34:08:13.030
17:47:46.3220,-34:11:09.120
17:50:36.0830,-34:16:43.160
17:48:27.1950,-33:44:22.260
17:48:08.1450,-33:49:52.810
17:48:54.8520,-33:56:52.090
17:49:19.6290,-34:02:38.260
17:49:46.4540,-34:01:21.080
17:49:11.0580,-33:53:37.200
17:48:01.2410,-34:02:32.520
18:01:52.6620,-26:55:01.870
18:02:09.9200,-26:47:53.930
17:57:45.3260,-27:02:59.410
17:59:04.7080,-27:07:05.920
17:58:47.4930,-27:02:30.090
17:58:49.9820,-27:32:08.820
17:58:30.7440,-27:22:09.580
17:59:51.9370,-27:27:06.760
17:59:52.1260,-27:27:05.180
17:59:52.0040,-27:27:05.610
17:57:41.1640,-27:53:33.460
17:59:51.2420,-28:00:08.780
17:59:24.5270,-27:51:09.830
17:58:23.9010,-27:45:34.090
17:58:36.2070,-27:44:24.710
17:58:58.6830,-27:48:29.380
17:59:53.4620,-28:19:31.500
17:58:16.9440,-28:02:09.180
18:02:33.3640,-28:05:39.380
18:01:59.1390,-28:09:05.920
18:01:59.9850,-28:05:06.250
18:00:53.4180,-28:09:47.230
18:00:34.2210,-28:09:31.380
18:00:08.7590,-28:08:03.350
18:01:03.6750,-28:11:54.280
18:01:30.2570,-28:11:34.930
18:01:43.8740,-27:45:43.700
18:01:42.2370,-27:50:04.390
18:02:27.2940,-27:53:58.600
18:01:24.7850,-27:57:52.940
18:00:33.7320,-27:07:22.630
18:00:04.7910,-27:15:09.370
18:00:42.3820,-27:12:50.020
18:03:17.1100,-32:03:37.610
18:03:26.2770,-32:00:39.280
18:05:25.2940,-31:54:04.010
18:07:51.0960,-31:57:46.980
18:06:31.0040,-32:00:50.990
18:06:20.0390,-31:54:18.840
18:08:31.9170,-32:08:37.040
18:06:35.7010,-32:07:04.470
18:05:43.6710,-32:27:31.020
18:05:45.0060,-32:28:21.010
18:04:20.1810,-32:13:34.280
18:03:45.6110,-32:16:33.700
18:04:51.6970,-32:14:56.960
18:04:43.3380,-32:18:02.870
18:05:32.4900,-32:20:40.070
18:03:02.8940,-32:48:32.090
18:04:43.0110,-32:46:39.060
18:03:50.8010,-32:38:06.390
18:04:50.2540,-32:40:26.840
18:04:35.0040,-32:35:16.070
18:05:52.9060,-32:37:07.730
18:05:27.9160,-32:37:28.650
18:05:15.7320,-32:40:01.440
18:05:50.5720,-32:37:51.190
18:02:56.0190,-33:09:02.970
18:04:33.8840,-33:10:33.360
18:04:41.3700,-33:11:54.240
18:02:52.7180,-33:00:00.920
18:04:19.1670,-33:00:34.640
18:05:01.1490,-32:57:43.050
18:05:41.2840,-33:03:51.670
18:05:17.6550,-32:57:02.130
18:05:06.1570,-33:35:01.460
