time,filter,magnitude,error
2457416.87904,OGLE-I,13.719,0.003
2457424.86944,OGLE-I,13.724,0.003
2457425.86495,OGLE-I,13.72,0.003
2457427.85818,OGLE-I,13.716,0.003
2457428.85697,OGLE-I,13.716,0.003
2457429.85078,OGLE-I,13.72,0.003
2457431.85049,OGLE-I,13.719,0.003
2457432.85912,OGLE-I,13.718,0.003
2457433.85704,OGLE-I,13.716,0.003
2457434.84652,OGLE-I,13.724,0.003
2457435.86066,OGLE-I,13.715,0.003
2457435.89019,OGLE-I,13.721,0.003
2457436.85815,OGLE-I,13.721,0.003
2457436.8853,OGLE-I,13.721,0.003
2457437.83899,OGLE-I,13.721,0.003
2457437.89105,OGLE-I,13.72,0.003
2457438.8528,OGLE-I,13.709,0.003
2457438.88622,OGLE-I,13.716,0.003
2457439.85024,OGLE-I,13.714,0.003
2457439.88888,OGLE-I,13.717,0.003
2457440.84342,OGLE-I,13.725,0.003
2457440.88682,OGLE-I,13.731,0.003
2457441.85059,OGLE-I,13.718,0.003
2457441.88867,OGLE-I,13.723,0.003
2457442.84458,OGLE-I,13.721,0.003
2457442.8873,OGLE-I,13.72,0.003
2457443.84858,OGLE-I,13.716,0.003
2457444.82613,OGLE-I,13.718,0.003
2457444.89142,OGLE-I,13.716,0.003
2457445.84035,OGLE-I,13.716,0.003
2457445.87369,OGLE-I,13.719,0.003
2457446.81337,OGLE-I,13.719,0.003
2457446.84724,OGLE-I,13.72,0.003
2457446.88715,OGLE-I,13.726,0.003
2457447.81805,OGLE-I,13.716,0.003
2457447.85845,OGLE-I,13.713,0.003
2457447.89663,OGLE-I,13.718,0.003
2457448.83553,OGLE-I,13.716,0.003
2457448.8801,OGLE-I,13.724,0.003
2457449.82335,OGLE-I,13.72,0.003
2457449.84714,OGLE-I,13.716,0.003
2457449.87758,OGLE-I,13.72,0.003
2457451.81954,OGLE-I,13.719,0.003
2457451.8436,OGLE-I,13.713,0.003
2457451.88854,OGLE-I,13.719,0.003
2457452.81425,OGLE-I,13.72,0.003
2457452.85924,OGLE-I,13.722,0.003
2457452.90553,OGLE-I,13.724,0.003
