time,filter,magnitude,error
57416.87904,OGLE-I,13.719,0.003
57424.86944,OGLE-I,13.724,0.003
57425.86495,OGLE-I,13.72,0.003
57427.85818,OGLE-I,13.716,0.003
57428.85697,OGLE-I,13.716,0.003
57429.85078,OGLE-I,13.72,0.003
57431.85049,OGLE-I,13.719,0.003
57432.85912,OGLE-I,13.718,0.003
57433.85704,OGLE-I,13.716,0.003
57434.84652,OGLE-I,13.724,0.003
57435.86066,OGLE-I,13.715,0.003
57435.89019,OGLE-I,13.721,0.003
57436.85815,OGLE-I,13.721,0.003
57436.8853,OGLE-I,13.721,0.003
57437.83899,OGLE-I,13.721,0.003
57437.89105,OGLE-I,13.72,0.003
57438.8528,OGLE-I,13.709,0.003
57438.88622,OGLE-I,13.716,0.003
57439.85024,OGLE-I,13.714,0.003
57439.88888,OGLE-I,13.717,0.003
57440.84342,OGLE-I,13.725,0.003
57440.88682,OGLE-I,13.731,0.003
57441.85059,OGLE-I,13.718,0.003
57441.88867,OGLE-I,13.723,0.003
57442.84458,OGLE-I,13.721,0.003
57442.8873,OGLE-I,13.72,0.003
57443.84858,OGLE-I,13.716,0.003
57444.82613,OGLE-I,13.718,0.003
57444.89142,OGLE-I,13.716,0.003
57445.84035,OGLE-I,13.716,0.003
57445.87369,OGLE-I,13.719,0.003
57446.81337,OGLE-I,13.719,0.003
57446.84724,OGLE-I,13.72,0.003
57446.88715,OGLE-I,13.726,0.003
57447.81805,OGLE-I,13.716,0.003
57447.85845,OGLE-I,13.713,0.003
57447.89663,OGLE-I,13.718,0.003
57448.83553,OGLE-I,13.716,0.003
57448.8801,OGLE-I,13.724,0.003
57449.82335,OGLE-I,13.72,0.003
57449.84714,OGLE-I,13.716,0.003
57449.87758,OGLE-I,13.72,0.003
57451.81954,OGLE-I,13.719,0.003
57451.8436,OGLE-I,13.713,0.003
57451.88854,OGLE-I,13.719,0.003
57452.81425,OGLE-I,13.72,0.003
57452.85924,OGLE-I,13.722,0.003
57452.90553,OGLE-I,13.724,0.003
57453.82626,OGLE-I,13.727,0.003
57453.88015,OGLE-I,13.728,0.003
57454.84831,OGLE-I,13.717,0.003
57454.87194,OGLE-I,13.719,0.003
57455.79048,OGLE-I,13.714,0.003
57455.84538,OGLE-I,13.718,0.003
57455.89913,OGLE-I,13.712,0.003
57456.81961,OGLE-I,13.713,0.003
57456.8748,OGLE-I,13.714,0.003
57457.78513,OGLE-I,13.709,0.003
57457.83087,OGLE-I,13.716,0.003
57457.8859,OGLE-I,13.717,0.003
57458.79244,OGLE-I,13.718,0.003
57458.84,OGLE-I,13.719,0.003
57458.89499,OGLE-I,13.722,0.003
57460.79665,OGLE-I,13.717,0.003
57460.85449,OGLE-I,13.722,0.003
57460.89967,OGLE-I,13.722,0.003
57461.81168,OGLE-I,13.716,0.003
57461.86596,OGLE-I,13.72,0.003
57462.76785,OGLE-I,13.708,0.003
57462.81338,OGLE-I,13.718,0.003
57462.8723,OGLE-I,13.724,0.003
57463.8023,OGLE-I,13.715,0.003
57463.87211,OGLE-I,13.721,0.003
57464.82053,OGLE-I,13.721,0.003
57465.76758,OGLE-I,13.713,0.003
57465.81231,OGLE-I,13.723,0.003
57465.86586,OGLE-I,13.726,0.003
57465.91171,OGLE-I,13.724,0.003
57466.88795,OGLE-I,13.72,0.003
57467.8013,OGLE-I,13.716,0.003
57467.84734,OGLE-I,13.718,0.003
57467.89212,OGLE-I,13.722,0.003
57470.77122,OGLE-I,13.712,0.003
57470.81812,OGLE-I,13.719,0.003
57470.86264,OGLE-I,13.717,0.003
57470.91574,OGLE-I,13.714,0.003
57471.78439,OGLE-I,13.718,0.003
57471.82859,OGLE-I,13.722,0.003
57471.88589,OGLE-I,13.717,0.003
57472.74949,OGLE-I,13.712,0.003
57472.79407,OGLE-I,13.709,0.003
57472.83939,OGLE-I,13.715,0.003
57472.89564,OGLE-I,13.718,0.003
57473.77524,OGLE-I,13.719,0.003
57474.74581,OGLE-I,13.714,0.003
57474.78467,OGLE-I,13.719,0.003
57474.82259,OGLE-I,13.715,0.003
57474.86118,OGLE-I,13.717,0.003
57474.89985,OGLE-I,13.721,0.003
57475.76194,OGLE-I,13.713,0.003
57475.80277,OGLE-I,13.724,0.003
57475.84276,OGLE-I,13.717,0.003
57475.88175,OGLE-I,13.722,0.003
57476.75692,OGLE-I,13.718,0.003
57476.83606,OGLE-I,13.727,0.003
57479.81316,OGLE-I,13.716,0.003
57479.82715,OGLE-I,13.719,0.003
57479.84109,OGLE-I,13.723,0.003
57480.7775,OGLE-I,13.714,0.003
57480.8072,OGLE-I,13.721,0.003
57480.83232,OGLE-I,13.718,0.003
57480.85569,OGLE-I,13.716,0.003
57480.8738,OGLE-I,13.717,0.003
57480.88784,OGLE-I,13.72,0.003
57480.90312,OGLE-I,13.718,0.003
57480.91797,OGLE-I,13.721,0.003
57484.72469,OGLE-I,13.725,0.003
57484.74038,OGLE-I,13.725,0.003
57484.75435,OGLE-I,13.726,0.003
57484.76824,OGLE-I,13.725,0.003
57484.7822,OGLE-I,13.725,0.003
57484.80175,OGLE-I,13.726,0.003
57484.81573,OGLE-I,13.727,0.003
57484.82974,OGLE-I,13.724,0.003
57484.84377,OGLE-I,13.725,0.003
57484.85783,OGLE-I,13.732,0.003
57484.88194,OGLE-I,13.729,0.003
57484.89617,OGLE-I,13.728,0.003
57484.91233,OGLE-I,13.73,0.003
57485.71439,OGLE-I,13.718,0.003
57485.7387,OGLE-I,13.719,0.003
57485.75266,OGLE-I,13.723,0.003
57485.7667,OGLE-I,13.724,0.003
57485.78073,OGLE-I,13.721,0.003
57485.79464,OGLE-I,13.724,0.003
57485.80864,OGLE-I,13.725,0.003
57485.82353,OGLE-I,13.724,0.003
57485.84335,OGLE-I,13.725,0.003
57485.85763,OGLE-I,13.728,0.003
57485.87214,OGLE-I,13.712,0.003
57485.88741,OGLE-I,13.728,0.003
57485.90174,OGLE-I,13.727,0.003
57485.91621,OGLE-I,13.715,0.003
57486.71099,OGLE-I,13.723,0.003
57486.72685,OGLE-I,13.718,0.003
57486.7451,OGLE-I,13.721,0.003
57486.75909,OGLE-I,13.725,0.003
57486.77314,OGLE-I,13.719,0.003
57486.78706,OGLE-I,13.724,0.003
57486.801,OGLE-I,13.724,0.003
57486.815,OGLE-I,13.72,0.003
57486.82938,OGLE-I,13.718,0.003
57486.84367,OGLE-I,13.715,0.003
57486.86793,OGLE-I,13.725,0.003
57486.88226,OGLE-I,13.721,0.003
57486.89799,OGLE-I,13.722,0.003
57486.91305,OGLE-I,13.717,0.003
57487.7059,OGLE-I,13.72,0.003
57487.72208,OGLE-I,13.718,0.003
57487.73613,OGLE-I,13.721,0.003
57487.75053,OGLE-I,13.724,0.003
57487.7668,OGLE-I,13.727,0.003
57487.78301,OGLE-I,13.723,0.003
57487.79827,OGLE-I,13.721,0.003
57487.81232,OGLE-I,13.724,0.003
57487.83829,OGLE-I,13.721,0.003
57487.85287,OGLE-I,13.719,0.003
57487.86705,OGLE-I,13.727,0.003
57487.88148,OGLE-I,13.723,0.003
57487.89625,OGLE-I,13.725,0.003
57487.91111,OGLE-I,13.724,0.003
57487.92521,OGLE-I,13.722,0.003
57488.71508,OGLE-I,13.721,0.003
57488.7291,OGLE-I,13.72,0.003
57488.74371,OGLE-I,13.724,0.003
57488.7578,OGLE-I,13.722,0.003
57488.77221,OGLE-I,13.723,0.003
57488.78677,OGLE-I,13.727,0.003
57488.81345,OGLE-I,13.726,0.003
57488.83702,OGLE-I,13.726,0.003
57488.85141,OGLE-I,13.731,0.003
57488.86655,OGLE-I,13.73,0.003
57488.88131,OGLE-I,13.726,0.003
57488.89667,OGLE-I,13.726,0.003
57488.91123,OGLE-I,13.724,0.003
57488.92528,OGLE-I,13.726,0.003
57489.77269,OGLE-I,13.719,0.003
57489.79389,OGLE-I,13.72,0.003
57489.81543,OGLE-I,13.717,0.003
57489.83685,OGLE-I,13.721,0.003
57489.86351,OGLE-I,13.724,0.003
57489.90622,OGLE-I,13.719,0.003
57489.9194,OGLE-I,13.722,0.003
57489.93366,OGLE-I,13.721,0.003
57491.69976,OGLE-I,13.72,0.003
57491.71367,OGLE-I,13.714,0.003
57491.72767,OGLE-I,13.719,0.003
57491.74155,OGLE-I,13.727,0.003
57491.75582,OGLE-I,13.721,0.003
57491.77009,OGLE-I,13.724,0.003
57491.7842,OGLE-I,13.724,0.003
57491.7985,OGLE-I,13.723,0.003
57491.82226,OGLE-I,13.723,0.003
57491.83637,OGLE-I,13.724,0.003
57491.86062,OGLE-I,13.726,0.003
57491.87493,OGLE-I,13.734,0.003
57491.88999,OGLE-I,13.734,0.003
57491.90516,OGLE-I,13.736,0.003
57491.91933,OGLE-I,13.73,0.003
57492.69426,OGLE-I,13.715,0.003
57492.71031,OGLE-I,13.716,0.003
57492.72682,OGLE-I,13.722,0.003
57492.75542,OGLE-I,13.721,0.003
57492.77111,OGLE-I,13.726,0.003
57492.78692,OGLE-I,13.728,0.003
57492.80279,OGLE-I,13.726,0.003
57492.8452,OGLE-I,13.729,0.003
57492.86121,OGLE-I,13.735,0.003
57492.87797,OGLE-I,13.737,0.003
57492.89474,OGLE-I,13.735,0.003
57492.9192,OGLE-I,13.729,0.003
57493.70221,OGLE-I,13.726,0.003
57493.71784,OGLE-I,13.72,0.003
57493.7336,OGLE-I,13.722,0.003
57493.75726,OGLE-I,13.725,0.003
57493.77289,OGLE-I,13.722,0.003
57493.79859,OGLE-I,13.727,0.003
57493.81417,OGLE-I,13.724,0.003
57493.84746,OGLE-I,13.728,0.003
57493.86355,OGLE-I,13.733,0.003
57493.88038,OGLE-I,13.731,0.003
57493.89671,OGLE-I,13.723,0.003
57493.92034,OGLE-I,13.728,0.003
57494.69757,OGLE-I,13.721,0.003
57494.71333,OGLE-I,13.721,0.003
57494.72893,OGLE-I,13.722,0.003
57494.7536,OGLE-I,13.725,0.003
57494.77218,OGLE-I,13.724,0.003
57494.79779,OGLE-I,13.723,0.003
57494.81352,OGLE-I,13.727,0.003
57494.8476,OGLE-I,13.725,0.003
57494.86411,OGLE-I,13.73,0.003
57494.88084,OGLE-I,13.729,0.003
57494.89743,OGLE-I,13.726,0.003
57494.92145,OGLE-I,13.73,0.003
57495.68302,OGLE-I,13.724,0.003
57495.69873,OGLE-I,13.726,0.003
57495.71449,OGLE-I,13.723,0.003
57495.73835,OGLE-I,13.729,0.003
57495.75386,OGLE-I,13.727,0.003
57495.76961,OGLE-I,13.726,0.003
57495.7944,OGLE-I,13.73,0.003
57495.82738,OGLE-I,13.724,0.003
57495.84402,OGLE-I,13.723,0.003
57495.86034,OGLE-I,13.723,0.003
57495.87691,OGLE-I,13.723,0.003
57495.90214,OGLE-I,13.724,0.003
57495.91777,OGLE-I,13.727,0.003
57495.93332,OGLE-I,13.732,0.003
57497.86823,OGLE-I,13.723,0.003
57497.88571,OGLE-I,13.724,0.003
57497.90153,OGLE-I,13.725,0.003
57497.91732,OGLE-I,13.723,0.003
57498.69738,OGLE-I,13.72,0.003
57498.71312,OGLE-I,13.72,0.003
57498.72877,OGLE-I,13.724,0.003
57498.7446,OGLE-I,13.72,0.003
57498.77903,OGLE-I,13.724,0.003
57498.80528,OGLE-I,13.719,0.003
57498.83715,OGLE-I,13.721,0.003
57498.85332,OGLE-I,13.72,0.003
57498.87904,OGLE-I,13.72,0.003
57498.89517,OGLE-I,13.727,0.003
57498.92036,OGLE-I,13.718,0.003
57499.67864,OGLE-I,13.717,0.003
57499.70234,OGLE-I,13.72,0.003
57499.71844,OGLE-I,13.707,0.003
57499.73421,OGLE-I,13.721,0.003
57499.74977,OGLE-I,13.722,0.003
57499.77335,OGLE-I,13.727,0.003
57499.78976,OGLE-I,13.726,0.003
57499.80545,OGLE-I,13.721,0.003
57499.82112,OGLE-I,13.723,0.003
57499.84515,OGLE-I,13.723,0.003
57499.86143,OGLE-I,13.725,0.003
57499.87794,OGLE-I,13.721,0.003
57499.89397,OGLE-I,13.708,0.003
57499.91805,OGLE-I,13.722,0.003
57499.93364,OGLE-I,13.723,0.003
57500.68727,OGLE-I,13.717,0.003
57500.70286,OGLE-I,13.723,0.003
57500.71834,OGLE-I,13.723,0.003
57500.73398,OGLE-I,13.722,0.003
57500.75775,OGLE-I,13.722,0.003
57500.77341,OGLE-I,13.721,0.003
57500.78899,OGLE-I,13.723,0.003
57500.80474,OGLE-I,13.72,0.003
57500.82856,OGLE-I,13.719,0.003
57500.8445,OGLE-I,13.721,0.003
57500.86261,OGLE-I,13.724,0.003
57500.87902,OGLE-I,13.723,0.003
57500.90282,OGLE-I,13.72,0.003
57500.91836,OGLE-I,13.72,0.003
57507.73732,OGLE-I,13.716,0.003
57507.75128,OGLE-I,13.721,0.003
57507.76524,OGLE-I,13.727,0.003
57507.77971,OGLE-I,13.725,0.003
57507.79363,OGLE-I,13.723,0.003
57507.80763,OGLE-I,13.722,0.003
57507.82198,OGLE-I,13.724,0.003
57507.83663,OGLE-I,13.726,0.003
57507.85686,OGLE-I,13.724,0.003
57507.87093,OGLE-I,13.725,0.003
57507.88496,OGLE-I,13.721,0.003
57507.89922,OGLE-I,13.725,0.003
57507.91709,OGLE-I,13.723,0.003
57507.93217,OGLE-I,13.718,0.003
57508.65002,OGLE-I,13.722,0.003
57508.66414,OGLE-I,13.72,0.003
57508.67828,OGLE-I,13.721,0.003
57508.69242,OGLE-I,13.725,0.003
57508.70636,OGLE-I,13.731,0.003
57508.72039,OGLE-I,13.725,0.003
57508.73123,OGLE-I,13.728,0.003
57508.75913,OGLE-I,13.74,0.003
57508.77308,OGLE-I,13.741,0.003
57508.78722,OGLE-I,13.732,0.003
57508.8013,OGLE-I,13.737,0.003
57508.81547,OGLE-I,13.725,0.003
57508.83025,OGLE-I,13.736,0.003
57508.84531,OGLE-I,13.724,0.003
57508.85998,OGLE-I,13.731,0.003
57508.8745,OGLE-I,13.731,0.003
57508.88866,OGLE-I,13.726,0.003
57508.90402,OGLE-I,13.726,0.003
57508.91821,OGLE-I,13.726,0.003
57508.9321,OGLE-I,13.727,0.003
57509.72409,OGLE-I,13.725,0.003
57509.73859,OGLE-I,13.721,0.003
57509.75269,OGLE-I,13.725,0.003
57509.767,OGLE-I,13.723,0.003
57509.78105,OGLE-I,13.722,0.003
57509.79595,OGLE-I,13.724,0.003
57509.81091,OGLE-I,13.721,0.003
57509.82559,OGLE-I,13.721,0.003
57509.8411,OGLE-I,13.726,0.003
57509.85548,OGLE-I,13.725,0.003
57509.86959,OGLE-I,13.726,0.003
57509.88369,OGLE-I,13.725,0.003
57509.89821,OGLE-I,13.725,0.003
57509.9124,OGLE-I,13.718,0.003
57509.92928,OGLE-I,13.721,0.003
57511.67864,OGLE-I,13.727,0.003
57511.69304,OGLE-I,13.716,0.003
57511.70706,OGLE-I,13.719,0.003
57511.72103,OGLE-I,13.725,0.003
57511.73507,OGLE-I,13.723,0.003
57511.74913,OGLE-I,13.723,0.003
57511.76329,OGLE-I,13.724,0.003
57511.78742,OGLE-I,13.723,0.003
57511.80163,OGLE-I,13.722,0.003
57511.82674,OGLE-I,13.727,0.003
57511.84164,OGLE-I,13.727,0.003
